SubscribeID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Subscribe Duration,Country,Age,Gender,Device
1,Basic,10,1/15/2022,10/6/2023,629,United States,28,Male,Smartphone
3,Premium,15,5/9/2021,6/22/2023,774,Canada,35,Female,Tablet
2,Standard,12,2/28/2023,6/27/2023,119,United Kingdom,42,Male,Smart TV
2,Standard,12,10/7/2022,6/26/2023,262,Australia,51,Female,Laptop
1,Basic,10,1/5/2023,6/28/2023,174,Germany,33,Male,Smartphone
3,Premium,15,3/18/2022,6/27/2023,466,France,29,Female,Smart TV
2,Standard,12,9/12/2021,6/25/2023,651,Brazil,46,Male,Tablet
1,Basic,10,2/4/2023,6/24/2023,140,Mexico,39,Female,Laptop
2,Standard,12,10/20/2022,6/23/2023,246,Spain,37,Male,Smartphone
3,Premium,15,7/1/2023,6/22/2023,-9,Italy,44,Female,Smart TV
1,Basic,10,5/16/2022,6/22/2023,402,United States,31,Female,Smartphone
3,Premium,15,3/23/2023,6/28/2023,97,Canada,45,Male,Tablet
2,Standard,12,11/30/2021,6/27/2023,574,United Kingdom,48,Female,Laptop
1,Basic,10,1/8/2022,6/26/2023,534,Australia,27,Male,Smartphone
2,Standard,12,9/5/2023,6/28/2023,-69,Germany,38,Female,Smart TV
3,Premium,15,7/4/2022,6/27/2023,358,France,36,Male,Tablet
1,Basic,10,1/24/2022,6/25/2023,517,Brazil,30,Female,Laptop
2,Standard,12,10/18/2021,6/24/2023,614,Mexico,43,Male,Smartphone
3,Premium,15,2/15/2023,6/23/2023,128,Spain,32,Female,Smart TV
1,Basic,10,5/27/2023,6/22/2023,26,Italy,41,Male,Tablet
3,Premium,15,10/6/2023,6/22/2023,-106,United States,26,Female,Laptop
1,Basic,10,7/22/2022,6/28/2023,341,Canada,34,Male,Smartphone
2,Standard,12,5/12/2021,6/27/2023,776,United Kingdom,49,Female,Smart TV
2,Standard,12,3/4/2022,6/26/2023,479,Australia,31,Male,Tablet
1,Basic,10,3/14/2023,6/28/2023,106,Germany,40,Female,Laptop
3,Premium,15,12/1/2022,6/27/2023,208,France,29,Male,Smartphone
1,Basic,10,8/29/2022,6/25/2023,300,Brazil,47,Female,Smart TV
2,Standard,12,9/27/2021,6/24/2023,635,Mexico,33,Male,Tablet
